0Time[ms],#Mission,TargetDepth[m],PistonPosition[m],PIDoutput,Pressure[V],MeasuredDepth[m],Psi,Pascal,Battery[V],Temperature,MotionData
08883,1,1.000000,0.006925,0.015042,0.516140,0.283693,15.103507,104135.054687,16.093782,110.781250,0.000000
09382,1,1.000000,0.007930,0.014637,0.517239,0.303005,15.130974,104324.437500,16.077667,110.781250,0.000000
09881,1,1.000000,0.007930,0.014637,0.517239,0.303005,15.130974,104324.437500,16.077667,110.781250,0.000000
010380,1,1.000000,0.008927,0.014231,0.518338,0.322317,15.158442,104513.820312,16.070343,110.773437,0.000000
010879,1,1.000000,0.008927,0.014231,0.518338,0.322317,15.158442,104513.820312,16.070343,110.773437,0.000000
011378,1,1.000000,0.009928,0.013623,0.519986,0.351284,15.199644,104797.890625,16.065948,110.765625,0.000000
011877,1,1.000000,0.010761,0.013623,0.521908,0.385079,15.247712,105129.304687,16.099641,110.765625,0.000000
012375,1,1.000000,0.010926,0.013015,0.521634,0.380251,15.240844,105081.960937,16.079132,110.765625,0.000000
012874,1,1.000000,0.010926,0.013015,0.521634,0.380251,15.240844,105081.960937,16.079132,110.765625,0.000000
013372,1,1.000000,0.011183,0.012001,0.524381,0.428530,15.309514,105555.414062,16.320846,110.757812,0.000000
013871,1,1.000000,0.011183,0.012001,0.524381,0.428530,15.309514,105555.414062,16.320846,110.757812,0.000000
014370,1,1.000000,0.012147,0.010581,0.528226,0.496121,15.405650,106218.250000,16.060089,110.750000,0.000000
014869,1,1.000000,0.012147,0.010581,0.528226,0.496121,15.405650,106218.250000,16.060089,110.750000,0.000000
015368,1,1.000000,0.012001,0.009669,0.530698,0.539572,15.467452,106644.359375,16.329635,110.750000,0.000000
015867,1,1.000000,0.012001,0.009669,0.530698,0.539572,15.467452,106644.359375,16.329635,110.750000,0.000000
016366,1,1.000000,0.011075,0.008452,0.533994,0.597507,15.549854,107212.507812,16.055692,110.757812,0.000000
016865,1,1.000000,0.011075,0.008452,0.533994,0.597507,15.549854,107212.507812,16.055692,110.757812,0.000000
017364,1,1.000000,0.010077,0.006729,0.538664,0.679581,15.666591,108017.382812,16.032255,110.750000,0.000000
017863,1,1.000000,0.010077,0.006729,0.538664,0.679581,15.666591,108017.382812,16.032255,110.750000,0.000000
018362,1,1.000000,0.009076,0.005005,0.543333,0.761655,15.783328,108822.250000,16.017604,110.742187,0.000000
018861,1,1.000000,0.009076,0.005005,0.543333,0.761655,15.783328,108822.250000,16.017604,110.742187,0.000000
019360,1,1.000000,0.008039,0.003180,0.548277,0.848557,15.906931,109674.468750,16.019069,110.734375,0.000000
019859,1,1.000000,0.008039,0.003180,0.548277,0.848557,15.906931,109674.468750,16.019069,110.734375,0.000000
020358,1,1.000000,0.007074,0.001660,0.552397,0.920975,16.009933,110384.656250,16.017604,110.726562,0.000000
020857,1,1.000000,0.007074,0.001660,0.552397,0.920975,16.009933,110384.656250,16.017604,110.726562,0.000000
021356,1,1.000000,0.006037,0.000544,0.555419,0.974082,16.085470,110905.453125,16.002956,110.710937,0.000000
021855,1,1.000000,0.005241,0.000544,0.559264,1.041673,16.181606,111568.289062,16.016139,110.710937,0.000000
022354,1,1.000000,0.005070,0.000000,0.560088,1.056156,16.202205,111710.328125,15.992702,110.695312,0.000000
022853,1,1.000000,0.005070,0.000000,0.560088,1.056156,16.202205,111710.328125,15.992702,110.695312,0.000000
023352,1,1.000000,0.004076,0.000000,0.562286,1.094779,16.257141,112089.085937,15.986842,110.710937,0.000000
023851,1,1.000000,0.004076,0.000000,0.562286,1.094779,16.257141,112089.085937,15.986842,110.710937,0.000000
024350,1,1.000000,0.003073,0.000000,0.566955,1.176854,16.373878,112893.960937,15.978053,110.687500,0.000000
024849,1,1.000000,0.003073,0.000000,0.566955,1.176854,16.373878,112893.960937,15.978053,110.687500,0.000000
025349,1,1.000000,0.002073,0.000000,0.570251,1.234788,16.456281,113462.109375,15.983912,110.687500,0.000000
025848,1,1.000000,0.002073,0.000000,0.570251,1.234788,16.456281,113462.109375,15.983912,110.687500,0.000000
026347,1,1.000000,0.001036,0.000000,0.573273,1.287895,16.531816,113982.906250,15.960474,110.687500,0.000000
026846,1,1.000000,0.001036,0.000000,0.573273,1.287895,16.531816,113982.906250,15.960474,110.687500,0.000000
027345,1,1.000000,0.000075,0.000000,0.576843,1.350658,16.621086,114598.398437,15.956078,110.679687,0.000000
027844,1,1.000000,0.000075,0.000000,0.576843,1.350658,16.621086,114598.398437,15.956078,110.679687,0.000000
028342,1,1.000000,0.000002,0.000000,0.581238,1.427904,16.730955,115355.921875,16.276897,110.671875,0.000000
028841,1,1.000000,0.000002,0.000000,0.581238,1.427904,16.730955,115355.921875,16.276897,110.671875,0.000000
029339,1,1.000000,0.000002,0.000000,0.581513,1.432732,16.737823,115403.273437,16.282758,110.664062,0.000000
029838,1,1.000000,0.000002,0.000000,0.581513,1.432732,16.737823,115403.273437,16.282758,110.664062,0.000000
030337,1,1.000000,0.000002,0.000000,0.584260,1.481011,16.806491,115876.726562,16.294477,110.671875,0.000000
030836,1,1.000000,0.000002,0.000000,0.584260,1.481011,16.806491,115876.726562,16.294477,110.671875,0.000000
031335,1,1.000000,0.000002,0.000000,0.584534,1.485839,16.813358,115924.070312,16.278364,110.640625,0.000000
031834,1,1.000000,0.000002,0.000000,0.585633,1.505150,16.840826,116113.453125,16.312057,110.640625,0.000000
032333,1,1.000000,0.000002,0.000000,0.585084,1.495495,16.827091,116018.757812,16.291547,110.648437,0.000000
032832,1,1.000000,0.000002,0.000000,0.585084,1.495495,16.827091,116018.757812,16.291547,110.648437,0.000000
033331,1,1.000000,0.000002,0.000000,0.587006,1.529290,16.875160,116350.179687,16.295942,110.640625,0.000000
033830,1,1.000000,0.000002,0.000000,0.587006,1.529290,16.875160,116350.179687,16.295942,110.640625,0.000000
034329,1,1.000000,0.000002,0.000000,0.586457,1.519634,16.861427,116255.492187,16.290082,110.632812,0.000000
034828,1,1.000000,0.000002,0.000000,0.586457,1.519634,16.861427,116255.492187,16.290082,110.632812,0.000000
035327,1,1.000000,0.000002,0.000000,0.586457,1.519634,16.861427,116255.492187,16.291547,110.632812,0.000000
035826,1,1.000000,0.000002,0.000000,0.586457,1.519634,16.861427,116255.492187,16.291547,110.632812,0.000000
036325,1,1.000000,0.000002,0.000000,0.585908,1.509978,16.847692,116160.796875,16.285688,110.632812,0.000000
036824,1,1.000000,0.000002,0.000000,0.585908,1.509978,16.847692,116160.796875,16.285688,110.632812,0.000000
037323,1,1.000000,0.000002,0.000000,0.584809,1.490667,16.820224,115971.414062,16.291547,110.617187,0.000000
037822,1,1.000000,0.000002,0.000000,0.584809,1.490667,16.820224,115971.414062,16.291547,110.617187,0.000000
038321,1,1.000000,0.000002,0.000000,0.585084,1.495495,16.827091,116018.757812,16.298872,110.601562,0.000000
038820,1,1.000000,0.000002,0.000000,0.585084,1.495495,16.827091,116018.757812,16.298872,110.601562,0.000000
039319,1,1.000000,0.000002,0.000000,0.583161,1.461699,16.779024,115687.343750,16.294477,110.578125,0.000000
039818,1,1.000000,0.000002,0.000000,0.583161,1.461699,16.779024,115687.343750,16.294477,110.578125,0.000000
040317,1,1.000000,0.000002,0.000000,0.581238,1.427904,16.730955,115355.921875,16.285688,110.578125,0.000000
040816,1,1.000000,0.000002,0.000000,0.581238,1.427904,16.730955,115355.921875,16.285688,110.578125,0.000000
041315,1,1.000000,0.000002,0.000000,0.580414,1.413420,16.710355,115213.890625,16.294477,110.593750,0.000000
041814,1,1.000000,0.000002,0.000000,0.578217,1.374797,16.655420,114835.125000,16.298872,110.593750,0.000000
042313,1,1.000000,0.000002,0.000000,0.577118,1.355486,16.627952,114645.742187,16.279829,110.585937,0.000000
042812,1,1.000000,0.000002,0.000000,0.577118,1.355486,16.627952,114645.742187,16.279829,110.585937,0.000000
043311,1,1.000000,0.000002,0.000000,0.576019,1.336174,16.600484,114456.359375,16.282758,110.578125,0.000000
043810,1,1.000000,0.000002,0.000000,0.576019,1.336174,16.600484,114456.359375,16.282758,110.578125,0.000000
044309,1,1.000000,0.000002,0.000000,0.573547,1.292723,16.538682,114030.250000,16.298872,110.570312,0.000000
044808,1,1.000000,0.000002,0.000000,0.573547,1.292723,16.538682,114030.250000,16.298872,110.570312,0.000000
045307,1,1.000000,0.000002,0.000000,0.570801,1.244444,16.470014,113556.796875,16.294477,110.554687,0.000000
045806,1,1.000000,0.000002,0.000000,0.570801,1.244444,16.470014,113556.796875,16.294477,110.554687,0.000000
046305,1,1.000000,0.000002,0.000000,0.568054,1.196165,16.401346,113083.343750,16.284223,110.554687,0.000000
046804,1,1.000000,0.000002,0.000000,0.568054,1.196165,16.401346,113083.343750,16.284223,110.554687,0.000000
047303,1,1.000000,0.000002,0.000000,0.565582,1.152714,16.339544,112657.234375,16.284223,110.562500,0.000000
047802,1,1.000000,0.000002,0.000000,0.565582,1.152714,16.339544,112657.234375,16.284223,110.562500,0.000000
048300,1,1.000000,0.000002,0.000000,0.563110,1.109263,16.277742,112231.125000,16.284223,110.546875,0.000000
048799,1,1.000000,0.000002,0.000000,0.563110,1.109263,16.277742,112231.125000,16.284223,110.546875,0.000000
049298,1,1.000000,0.000002,0.000000,0.560088,1.056156,16.202205,111710.328125,16.282758,110.539062,0.000000
049797,1,1.000000,0.000002,0.000000,0.560088,1.056156,16.202205,111710.328125,16.282758,110.539062,0.000000
050296,1,1.000000,0.000002,0.000342,0.555968,0.983738,16.099203,111000.140625,16.278364,110.546875,0.000000
050795,1,1.000000,0.000002,0.000342,0.555968,0.983738,16.099203,111000.140625,16.278364,110.546875,0.000000
051294,1,1.000000,0.000002,0.000950,0.554320,0.954771,16.058002,110716.070312,16.281293,110.531250,0.000000
051793,1,1.000000,0.000341,0.000950,0.550749,0.892008,15.968733,110100.578125,16.268108,110.531250,0.000000
052292,1,1.000000,0.000471,0.002673,0.549651,0.872696,15.941266,109911.195312,16.046903,110.515625,0.000000
052791,1,1.000000,0.000471,0.002673,0.549651,0.872696,15.941266,109911.195312,16.046903,110.515625,0.000000
053290,1,1.000000,0.001432,0.003383,0.547728,0.838901,15.893198,109579.781250,15.991237,110.492187,0.000000
053789,1,1.000000,0.001432,0.003383,0.547728,0.838901,15.893198,109579.781250,15.991237,110.492187,0.000000
054288,1,1.000000,0.002432,0.004802,0.543882,0.771311,15.797061,108916.945312,15.986842,110.507812,0.000000
054787,1,1.000000,0.002432,0.004802,0.543882,0.771311,15.797061,108916.945312,15.986842,110.507812,0.000000
055286,1,1.000000,0.003383,0.005918,0.540861,0.718204,15.721526,108396.140625,16.109895,110.492187,0.000000
055785,1,1.000000,0.003383,0.005918,0.540861,0.718204,15.721526,108396.140625,16.109895,110.492187,0.000000
056284,1,1.000000,0.004309,0.006729,0.538664,0.679581,15.666591,108017.382812,15.972192,110.492187,0.000000
056783,1,1.000000,0.004309,0.006729,0.538664,0.679581,15.666591,108017.382812,15.972192,110.492187,0.000000
057282,1,1.000000,0.005307,0.008148,0.534818,0.611990,15.570455,107354.546875,15.956078,110.468750,0.000000
057781,1,1.000000,0.005307,0.008148,0.534818,0.611990,15.570455,107354.546875,15.956078,110.468750,0.000000
058280,1,1.000000,0.006308,0.009061,0.532346,0.568539,15.508653,106928.437500,15.954613,110.484375,0.000000
058779,1,1.000000,0.006308,0.009061,0.532346,0.568539,15.508653,106928.437500,15.954613,110.484375,0.000000
059278,1,1.000000,0.007345,0.009466,0.531247,0.549228,15.481185,106739.054687,15.954613,110.476562,0.000000
059777,1,1.000000,0.007345,0.009466,0.531247,0.549228,15.481185,106739.054687,15.954613,110.476562,0.000000
060276,1,1.000000,0.008310,0.009973,0.529874,0.525088,15.446851,106502.328125,15.935569,110.468750,0.000000
060775,1,1.000000,0.008310,0.009973,0.529874,0.525088,15.446851,106502.328125,15.935569,110.468750,0.000000
061274,1,1.000000,0.009310,0.010987,0.527127,0.476809,15.378182,106028.875000,15.926780,110.468750,0.000000
061773,1,1.000000,0.009973,0.010987,0.526029,0.457498,15.350714,105839.492187,16.219766,110.468750,0.000000
062272,1,1.000000,0.010063,0.010987,0.527127,0.476809,15.378182,106028.875000,16.004421,110.453125,0.000000
062771,1,1.000000,0.010063,0.010987,0.527127,0.476809,15.378182,106028.875000,16.004421,110.453125,0.000000
063270,1,1.000000,0.011064,0.010886,0.527402,0.481637,15.385049,106076.218750,15.942894,110.460937,0.000000
063769,1,1.000000,0.011064,0.010886,0.527402,0.481637,15.385049,106076.218750,15.942894,110.460937,0.000000
064268,1,1.000000,0.010987,0.010176,0.529325,0.515432,15.433117,106407.632812,16.208045,110.453125,0.000000
064767,1,1.000000,0.010987,0.010176,0.529325,0.515432,15.433117,106407.632812,16.208045,110.453125,0.000000
065266,1,1.000000,0.010886,0.010075,0.529599,0.520260,15.439984,106454.984375,16.230020,110.445312,0.000000
065765,1,1.000000,0.010886,0.010075,0.529599,0.520260,15.439984,106454.984375,16.230020,110.445312,0.000000
066264,1,1.000000,0.010176,0.009061,0.532346,0.568539,15.508653,106928.437500,16.225625,110.453125,0.000000
066763,1,1.000000,0.010176,0.009061,0.532346,0.568539,15.508653,106928.437500,16.225625,110.453125,0.000000
067262,1,1.000000,0.010075,0.008757,0.533170,0.583023,15.529253,107070.468750,16.218301,110.437500,0.000000
067761,1,1.000000,0.010075,0.008757,0.533170,0.583023,15.529253,107070.468750,16.218301,110.437500,0.000000
068260,1,1.000000,0.009149,0.007439,0.536741,0.645785,15.618523,107685.960937,15.932640,110.445312,0.000000
068759,1,1.000000,0.009149,0.007439,0.536741,0.645785,15.618523,107685.960937,15.932640,110.445312,0.000000
069258,1,1.000000,0.008757,0.006120,0.540312,0.708548,15.707792,108301.453125,16.228555,110.429687,0.000000
069757,1,1.000000,0.008757,0.006120,0.540312,0.708548,15.707792,108301.453125,16.228555,110.429687,0.000000
070256,1,1.000000,0.007830,0.005411,0.542234,0.742343,15.755860,108632.875000,15.935569,110.421875,0.000000
070755,1,1.000000,0.007830,0.005411,0.542234,0.742343,15.755860,108632.875000,15.935569,110.421875,0.000000
071254,1,1.000000,0.006794,0.003890,0.546355,0.814762,15.858863,109343.054687,15.910666,110.445312,0.000000
071753,1,1.000000,0.005997,0.003890,0.549651,0.872696,15.941266,109911.195312,15.926780,110.445312,0.000000
072253,1,1.000000,0.005832,0.002673,0.549651,0.872696,15.941266,109911.195312,15.901876,110.421875,0.000000
072752,1,1.000000,0.005832,0.002673,0.549651,0.872696,15.941266,109911.195312,15.901876,110.421875,0.000000
073251,1,1.000000,0.004832,0.000950,0.554320,0.954771,16.058002,110716.070312,15.897481,110.421875,0.000000
073750,1,1.000000,0.004832,0.000950,0.554320,0.954771,16.058002,110716.070312,15.897481,110.421875,0.000000
074249,1,1.000000,0.003831,0.000139,0.556517,0.993394,16.112937,111094.835937,15.887227,110.398437,0.000000
074748,1,1.000000,0.003831,0.000139,0.556517,0.993394,16.112937,111094.835937,15.887227,110.398437,0.000000
075247,1,1.000000,0.002829,0.000000,0.560912,1.070640,16.222806,111852.359375,15.888691,110.414062,0.000000
075746,1,1.000000,0.002829,0.000000,0.560912,1.070640,16.222806,111852.359375,15.888691,110.414062,0.000000
076245,1,1.000000,0.001831,0.000000,0.562835,1.104435,16.270875,112183.781250,15.890156,110.398437,0.000000
076744,1,1.000000,0.001831,0.000000,0.562835,1.104435,16.270875,112183.781250,15.890156,110.398437,0.000000
077243,1,1.000000,0.000831,0.000000,0.566406,1.167198,16.360145,112799.273437,15.882832,110.406250,0.000000
077742,1,1.000000,0.000831,0.000000,0.566406,1.167198,16.360145,112799.273437,15.882832,110.406250,0.000000
078241,1,1.000000,0.000004,0.000000,0.569153,1.215477,16.428813,113272.726562,16.164098,110.382812,0.000000
078740,1,1.000000,0.000004,0.000000,0.569153,1.215477,16.428813,113272.726562,16.164098,110.382812,0.000000
079239,1,1.000000,0.000004,0.000000,0.571075,1.249272,16.476881,113604.140625,16.210975,110.398437,0.000000
079738,1,1.000000,0.000004,0.000000,0.571075,1.249272,16.476881,113604.140625,16.210975,110.398437,0.000000
080236,1,1.000000,0.000004,0.000000,0.572723,1.278239,16.518083,113888.218750,16.219766,110.390625,0.000000
080735,1,1.000000,0.000004,0.000000,0.572723,1.278239,16.518083,113888.218750,16.219766,110.390625,0.000000
081234,1,1.000000,0.000004,0.000000,0.574371,1.307207,16.559284,114172.289062,16.225625,110.390625,0.000000
081733,1,1.000000,0.000004,0.000000,0.575745,1.331346,16.593618,114409.015625,16.249065,110.390625,0.000000
082232,1,1.000000,0.000004,0.000000,0.576569,1.345830,16.614219,114551.054687,16.232950,110.390625,0.000000
082731,1,1.000000,0.000004,0.000000,0.576569,1.345830,16.614219,114551.054687,16.232950,110.390625,0.000000
083230,1,1.000000,0.000004,0.000000,0.576843,1.350658,16.621086,114598.398437,16.231485,110.375000,0.000000
083729,1,1.000000,0.000004,0.000000,0.576843,1.350658,16.621086,114598.398437,16.231485,110.375000,0.000000
084228,1,1.000000,0.000004,0.000000,0.577118,1.355486,16.627952,114645.742187,16.234415,110.382812,0.000000
084727,1,1.000000,0.000004,0.000000,0.577118,1.355486,16.627952,114645.742187,16.234415,110.382812,0.000000
085226,1,1.000000,0.000004,0.000000,0.577667,1.365142,16.641687,114740.437500,16.237344,110.367187,0.000000
085725,1,1.000000,0.000004,0.000000,0.577667,1.365142,16.641687,114740.437500,16.237344,110.367187,0.000000
086224,1,1.000000,0.000004,0.000000,0.577942,1.369969,16.648553,114787.781250,16.235879,110.375000,0.000000
086723,1,1.000000,0.000004,0.000000,0.577942,1.369969,16.648553,114787.781250,16.235879,110.375000,0.000000
087221,1,1.000000,0.000004,0.000000,0.577942,1.369969,16.648553,114787.781250,16.235879,110.367187,0.000000
087721,1,1.000000,0.000004,0.000000,0.577942,1.369969,16.648553,114787.781250,16.235879,110.367187,0.000000
088220,1,1.000000,0.000004,0.000000,0.578217,1.374797,16.655420,114835.125000,16.244668,110.375000,0.000000
088719,1,1.000000,0.000004,0.000000,0.578217,1.374797,16.655420,114835.125000,16.244668,110.375000,0.000000
089218,1,1.000000,0.000004,0.000000,0.577942,1.369969,16.648553,114787.781250,16.247600,110.367187,0.000000
089717,1,1.000000,0.000004,0.000000,0.577942,1.369969,16.648553,114787.781250,16.247600,110.367187,0.000000
090216,1,1.000000,0.000004,0.000000,0.575745,1.331346,16.593618,114409.015625,16.234415,110.351562,0.000000
090715,1,1.000000,0.000004,0.000000,0.575745,1.331346,16.593618,114409.015625,16.234415,110.351562,0.000000
091214,1,1.000000,0.000004,0.000000,0.573273,1.287895,16.531816,113982.906250,16.241739,110.343750,0.000000
091713,1,1.000000,0.000004,0.000000,0.572174,1.268584,16.504348,113793.523437,16.259319,110.343750,0.000000
092212,1,1.000000,0.000004,0.000000,0.572449,1.273412,16.511215,113840.867187,16.241739,110.351562,0.000000
092711,1,1.000000,0.000004,0.000000,0.572449,1.273412,16.511215,113840.867187,16.241739,110.351562,0.000000
093210,1,1.000000,0.000004,0.000000,0.570526,1.239616,16.463148,113509.453125,16.241739,110.343750,0.000000
093709,1,1.000000,0.000004,0.000000,0.570526,1.239616,16.463148,113509.453125,16.241739,110.343750,0.000000
094208,1,1.000000,0.000004,0.000000,0.568603,1.205821,16.415079,113178.031250,16.246135,110.343750,0.000000
094707,1,1.000000,0.000004,0.000000,0.568603,1.205821,16.415079,113178.031250,16.246135,110.343750,0.000000
095206,1,1.000000,0.000004,0.000000,0.566955,1.176854,16.373878,112893.960937,16.241739,110.343750,0.000000
095705,1,1.000000,0.000004,0.000000,0.566955,1.176854,16.373878,112893.960937,16.241739,110.343750,0.000000
096204,1,1.000000,0.000004,0.000000,0.564208,1.128575,16.305210,112420.507812,16.250530,110.343750,0.000000
096703,1,1.000000,0.000004,0.000000,0.564208,1.128575,16.305210,112420.507812,16.250530,110.343750,0.000000
097202,1,1.000000,0.000004,0.000000,0.562560,1.099607,16.264007,112136.437500,16.250530,110.351562,0.000000
097701,1,1.000000,0.000004,0.000000,0.562560,1.099607,16.264007,112136.437500,16.250530,110.351562,0.000000
098200,1,1.000000,0.000004,0.000000,0.559264,1.041673,16.181606,111568.289062,16.244668,110.335937,0.000000
098699,1,1.000000,0.000004,0.000000,0.559264,1.041673,16.181606,111568.289062,16.244668,110.335937,0.000000
099198,1,1.000000,0.000004,0.000139,0.556517,0.993394,16.112937,111094.835937,16.247600,110.343750,0.000000
099697,1,1.000000,0.000004,0.000139,0.556517,0.993394,16.112937,111094.835937,16.247600,110.343750,0.000000
0100195,1,1.000000,0.000004,0.001254,0.553496,0.940287,16.037401,110574.031250,16.237344,110.343750,0.000000
0100694,1,1.000000,0.000004,0.001254,0.553496,0.940287,16.037401,110574.031250,16.237344,110.343750,0.000000
0101193,1,1.000000,0.000139,0.001862,0.551848,0.911320,15.996201,110289.960937,16.251995,110.335937,0.000000
0101692,1,1.000000,0.000896,0.001862,0.549101,0.863041,15.927532,109816.507812,15.966333,110.335937,0.000000
0102191,1,1.000000,0.001063,0.003180,0.548277,0.848557,15.906931,109674.468750,15.948754,110.335937,0.000000
0102690,1,1.000000,0.001063,0.003180,0.548277,0.848557,15.906931,109674.468750,15.948754,110.335937,0.000000
0103189,1,1.000000,0.002063,0.004600,0.544432,0.780966,15.810795,109011.632812,15.925314,110.320312,0.000000
0103688,1,1.000000,0.002063,0.004600,0.544432,0.780966,15.810795,109011.632812,15.925314,110.320312,0.000000
0104187,1,1.000000,0.003101,0.005208,0.542784,0.751999,15.769594,108727.562500,15.912131,110.328125,0.000000
0104686,1,1.000000,0.003101,0.005208,0.542784,0.751999,15.769594,108727.562500,15.912131,110.328125,0.000000
0105185,1,1.000000,0.004065,0.006019,0.540586,0.713376,15.714659,108348.796875,15.903341,110.328125,0.000000
0105684,1,1.000000,0.004065,0.006019,0.540586,0.713376,15.714659,108348.796875,15.903341,110.328125,0.000000
0106183,1,1.000000,0.005065,0.007236,0.537290,0.655441,15.632256,107780.656250,15.887227,110.328125,0.000000
0106682,1,1.000000,0.005065,0.007236,0.537290,0.655441,15.632256,107780.656250,15.887227,110.328125,0.000000
0107181,1,1.000000,0.006018,0.008351,0.534269,0.602334,15.556721,107259.851562,16.030790,110.320312,0.000000
0107680,1,1.000000,0.006018,0.008351,0.534269,0.602334,15.556721,107259.851562,16.030790,110.320312,0.000000
0108179,1,1.000000,0.006945,0.009162,0.532071,0.563711,15.501786,106881.085937,15.893086,110.320312,0.000000
0108678,1,1.000000,0.006945,0.009162,0.532071,0.563711,15.501786,106881.085937,15.893086,110.320312,0.000000
0109177,1,1.000000,0.007983,0.008858,0.532895,0.578195,15.522386,107023.125000,15.882832,110.328125,0.000000
0109676,1,1.000000,0.007983,0.008858,0.532895,0.578195,15.522386,107023.125000,15.882832,110.328125,0.000000
0110175,1,1.000000,0.008948,0.009770,0.530423,0.534744,15.460584,106597.015625,15.872577,110.328125,0.000000
0110674,1,1.000000,0.008948,0.009770,0.530423,0.534744,15.460584,106597.015625,15.872577,110.328125,0.000000
0111173,1,1.000000,0.008858,0.009466,0.531247,0.549228,15.481185,106739.054687,16.159704,110.320312,0.000000
0111672,1,1.000000,0.009578,0.009466,0.530423,0.534744,15.460584,106597.015625,15.897481,110.320312,0.000000
0112171,1,1.000000,0.009646,0.009669,0.530698,0.539572,15.467452,106644.359375,16.106966,110.320312,0.000000
0112670,1,1.000000,0.009646,0.009669,0.530698,0.539572,15.467452,106644.359375,16.106966,110.320312,0.000000
0113169,1,1.000000,0.010486,0.009568,0.530973,0.544400,15.474318,106691.710937,15.866718,110.320312,0.000000
0113668,1,1.000000,0.010486,0.009568,0.530973,0.544400,15.474318,106691.710937,15.866718,110.320312,0.000000
0114167,1,1.000000,0.009672,0.009365,0.531522,0.554056,15.488052,106786.398437,15.970727,110.320312,0.000000
0114666,1,1.000000,0.009672,0.009365,0.531522,0.554056,15.488052,106786.398437,15.970727,110.320312,0.000000
0115165,1,1.000000,0.009568,0.008757,0.533170,0.583023,15.529253,107070.468750,16.161169,110.320312,0.000000
0115664,1,1.000000,0.009568,0.008757,0.533170,0.583023,15.529253,107070.468750,16.161169,110.320312,0.000000
0116163,1,1.000000,0.009365,0.007641,0.536192,0.636130,15.604789,107591.273437,16.156774,110.312500,0.000000
0116662,1,1.000000,0.009365,0.007641,0.536192,0.636130,15.604789,107591.273437,16.156774,110.312500,0.000000
0117161,1,1.000000,0.008757,0.006830,0.538389,0.674753,15.659724,107970.039062,16.161169,110.320312,0.000000
0117660,1,1.000000,0.008757,0.006830,0.538389,0.674753,15.659724,107970.039062,16.161169,110.320312,0.000000
0118159,1,1.000000,0.007793,0.005309,0.542509,0.747171,15.762727,108680.218750,15.850604,110.312500,0.000000
0118658,1,1.000000,0.007793,0.005309,0.542509,0.747171,15.762727,108680.218750,15.850604,110.312500,0.000000
0119157,1,1.000000,0.006843,0.004498,0.544706,0.785794,15.817662,109058.984375,15.910666,110.320312,0.000000
0119656,1,1.000000,0.006843,0.004498,0.544706,0.785794,15.817662,109058.984375,15.910666,110.320312,0.000000
0120208,2,0.700000,0.005882,0.000000,0.548277,0.848557,15.906931,109674.468750,15.837419,110.320312,0.000000
0120707,2,0.700000,0.005882,0.000000,0.548277,0.848557,15.906931,109674.468750,15.837419,110.320312,0.000000
0121206,2,0.700000,0.004892,0.000000,0.550475,0.887180,15.961867,110053.234375,15.841814,110.304687,0.000000
0121706,2,0.700000,0.004063,0.000000,0.554595,0.959599,16.064868,110763.414062,15.859393,110.304687,0.000000
0122205,2,0.700000,0.003892,0.000000,0.554045,0.949943,16.051136,110668.726562,15.846208,110.304687,0.000000
0122705,2,0.700000,0.003892,0.000000,0.554045,0.949943,16.051136,110668.726562,15.846208,110.304687,0.000000
